,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHAcceptors,NumHDonors,pIC50
0,CHEMBL133897,CCOc1nn(-c2cccc(OCc3ccccc3)c2)c(=O)o1,active,312.32500000000005,2.8032000000000004,6.0,0.0,6.1249387366083
1,CHEMBL336398,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC1CC1,active,376.9130000000002,4.554600000000004,5.0,0.0,7.0
2,CHEMBL131588,CN(C(=O)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F)c1ccccc1,inactive,426.8510000000001,5.357400000000003,5.0,0.0,4.301029995663981
3,CHEMBL130628,O=C(N1CCCCC1)n1nc(-c2ccc(Cl)cc2)nc1SCC(F)(F)F,active,404.8450000000001,4.706900000000003,5.0,0.0,6.522878745280337
4,CHEMBL130478,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)C,active,346.33400000000006,3.095300000000001,6.0,0.0,6.096910013008056
6,CHEMBL130098,CSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N(C)C,active,296.783,2.850100000000001,5.0,0.0,7.0
7,CHEMBL337486,CCCCCCSc1nc(-c2ccc(Cl)cc2)nn1C(=O)N1CCOCC1,inactive,408.95500000000027,4.571200000000005,6.0,0.0,4.301029995663981
8,CHEMBL336538,COc1ccc(-c2nc(SC)n(C(=O)N(C)C)n2)cc1,active,292.364,2.2053000000000003,6.0,0.0,6.096910013008056
9,CHEMBL131051,CSc1nc(-c2ccc(OC(F)(F)F)cc2)nn1C(=O)N(C)c1ccccc1,inactive,408.4050000000001,4.670100000000003,6.0,0.0,4.301029995663981
10,CHEMBL341437,CCSc1nc(-c2ccc(OC)cc2)nn1C(=O)N1CCOCC1,inactive,348.4280000000002,2.3659999999999997,7.0,0.0,4.301029995663981
11,CHEMBL335033,CSc1nc(-c2ccc3ccccc3c2)nn1C(=O)N(C)C,active,312.3980000000001,3.3499000000000017,5.0,0.0,7.301029995663981
12,CHEMBL122983,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)C(C)(C)C)cc1,inactive,394.4710000000002,4.0084000000000035,4.0,1.0,4.0
